curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade,lon,lat,curso_resumido,unidade_pad,code_muni,name_muni,code_state,abbrev_state
Recursos Humanos,Noite,62,40,1.55,2025,1,etec-antonio-junqueira-da-veiga,-47.749369177718805,-20.01971115294452,Recursos Humanos,etec-antonio-junqueira-da-veiga,3520103,Igarapava,35,SP
Agenciamento de Viagem,Noite,40,40,1,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Agenciamento de Viagem,etec-aristoteles-ferreira,3548500,Santos,35,SP
Desenho de Construção Civil,Noite,43,40,1.07,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Desenho de Construção Civil,etec-aristoteles-ferreira,3548500,Santos,35,SP
Edificações,Noite,53,40,1.32,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Edificações,etec-aristoteles-ferreira,3548500,Santos,35,SP
Eletrônica - 20% On-line,Noite,51,40,1.27,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Eletrônica,etec-aristoteles-ferreira,3548500,Santos,35,SP
Eletrotécnica,Noite,143,40,3.57,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Eletrotécnica,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Tarde,96,36,2.66,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Automação Industrial,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec - AMS,Manhã,361,36,10.02,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Desenvolvimento de Sistemas,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Tarde,95,36,2.63,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Edificações,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,88,36,2.44,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Eletrônica,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec,Manhã,102,36,2.83,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Eletrotécnica,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,367,36,10.19,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Informática para Internet,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,44,36,1.22,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Mecânica,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Programação de Jogos Digitais - MTec,Tarde,187,36,5.19,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Programação de Jogos Digitais,etec-aristoteles-ferreira,3548500,Santos,35,SP
Guia de Turismo Internacional - Especialização,Noite,49,36,1.36,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Guia de Turismo Internacional,etec-aristoteles-ferreira,3548500,Santos,35,SP
Informática,Tarde,74,40,1.85,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Informática,etec-aristoteles-ferreira,3548500,Santos,35,SP
Mecânica,Noite,104,40,2.6,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Mecânica,etec-aristoteles-ferreira,3548500,Santos,35,SP
Mecatrônica,Noite,65,40,1.62,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Mecatrônica,etec-aristoteles-ferreira,3548500,Santos,35,SP
Soldagem,Noite,66,40,1.65,2025,1,etec-aristoteles-ferreira,-46.3097957,-23.9799581,Soldagem,etec-aristoteles-ferreira,3548500,Santos,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,79,35,2.25,2025,1,etec-armando-pannunzio-emef-vereadora-celia-dias-batista-dos-santos-salto-de-pirapora,-47.5735727,-23.6448815,Administração,etec-armando-pannunzio-emef-vereadora...,3545308,Salto De Pirapora,35,SP
Logística,Noite,60,40,1.5,2025,1,etec-armando-pannunzio-emef-vereadora-celia-dias-batista-dos-santos-salto-de-pirapora,-47.5735727,-23.6448815,Logística,etec-armando-pannunzio-emef-vereadora...,3545308,Salto De Pirapora,35,SP
Automação Industrial,Noite,53,40,1.32,2025,1,etec-armando-pannunzio,-47.4472184,-23.5235879,Automação Industrial,etec-armando-pannunzio,3552205,Sorocaba,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,132,40,3.3,2025,1,etec-armando-pannunzio,-47.4472184,-23.5235879,Administração,etec-armando-pannunzio,3552205,Sorocaba,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec-PI,Manhã e Tarde,112,40,2.8,2025,1,etec-armando-pannunzio,-47.4472184,-23.5235879,Automação Industrial,etec-armando-pannunzio,3552205,Sorocaba,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Comércio Exterior - MTec-N,Noite,87,40,2.17,2025,1,etec-armando-pannunzio,-47.4472184,-23.5235879,Comércio Exterior,etec-armando-pannunzio,3552205,Sorocaba,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Eletroeletrônica - MTec-N,Noite,70,40,1.75,2025,1,etec-armando-pannunzio,-47.4472184,-23.5235879,Eletroeletrônica,etec-armando-pannunzio,3552205,Sorocaba,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec-PI,Manhã e Tarde,79,40,1.97,2025,1,etec-armando-pannunzio,-47.4472184,-23.5235879,Recursos Humanos,etec-armando-pannunzio,3552205,Sorocaba,35,SP
