lon,lat,unidade
-48.7825064,-22.1936883,etec-professor-urias-ferreira-centro-de-treinamento-professora-djanir-sgavioli-sin-boraceia
-40.64902439999999,-20.8040572,etec-professor-urias-ferreira-ee-anchieta
-48.6160392,-22.1878651,etec-professor-urias-ferreira
-48.4952696,-21.8356149,etec-professora-anna-de-oliveira-ferraz-emef-martha-ferreira-da-cruz-gaviao-peixoto
-48.1776635,-21.7863822,etec-professora-anna-de-oliveira-ferraz
-51.7519839,-21.3528614,etec-professora-carmelina-barbosa-ee-ministro-oscar-pedroso-horta-santa-mercedes
-51.4373487,-21.5101659,etec-professora-carmelina-barbosa-em-professor-jair-luiz-da-silva-junqueiropolis
-51.5804901,-21.4499492,etec-professora-carmelina-barbosa
-46.7503951,-23.4365908,etec-professora-doutora-doroti-quiomi-kanashiro-toyohara-ceu-pera-marmelo
-46.72455,-23.4845282,etec-professora-doutora-doroti-quiomi-kanashiro-toyohara
-46.9175769568407,-23.44764652153393,etec-professora-ermelinda-giannini-teixeira
-49.85995459999999,-21.5349037,etec-professora-helcy-moreira-martins-aguiar-emef-colegio-xavier-promissao
-49.61702487407272,-21.80380729612248,etec-professora-helcy-moreira-martins-aguiar
-45.8881691,-23.2307054,etec-professora-ilza-nascimento-pintus-ee-prof-jose-vieira-macedo
-45.90677050000001,-23.219912,etec-professora-ilza-nascimento-pintus
-46.3318938,-23.3859907,etec-professora-luzia-maria-machado
-46.4140284586831,-23.703969483923224,etec-professora-maria-cristina-medeiros
-49.0729871,-21.6219061,etec-professora-marines-teodoro-de-freitas-almeida-emeif-profa-ana-rosa-borborema
-49.2255869299029,-21.465718364938297,etec-professora-marines-teodoro-de-freitas-almeida
-49.2246518,-21.4649748,etec-professora-marines-teodoro-de-freitas-emef-manoel-roque-novo-horizonte
-52.1618282,-22.5333286,etec-professora-nair-luccas-ribeiro
-49.2456502605367,-23.531068932158185,etec-professora-terezinha-monteiro-dos-santos
-46.79831660000001,-23.5876612,etec-raposo-tavares
-49.0733621,-22.3297171,etec-rodrigues-de-abreu-ee-ernesto-monte
-49.0733621,-22.3297171,etec-rodrigues-de-abreu-fatec-de-bauru
-49.0733621,-22.3297171,etec-rodrigues-de-abreu
-46.7932656,-22.8821197,etec-rosa-perrone-scavone-emef-antonio-rodrigues-da-silva-morungaba
-46.8464324,-23.008049,etec-rosa-perrone-scavone
-47.45613170000001,-23.5076881,etec-rubens-de-faria-e-souza
-47.84550369999999,-23.3465157,etec-sales-gomes-fatec-professor-wilson-roberto-ribeiro-de-camargo
-47.6898918,-23.3504027,etec-sales-gomes-ipero
-47.84550369999999,-23.3465157,etec-sales-gomes
-46.6371203,-23.5383112,etec-santa-ifigenia
-46.4996333,-23.5788038,etec-sao-mateus
-51.32071759999999,-20.9738224,etec-sebastiana-augusta-de-moraes-ee-alice-marques-da-silva-rocha
